vus,tps,avg,p50,p90,p95,p99,cpu_usage_max,disk_usage_max
50,1054.1593793790526,46.94023214796756,null,51.7980958,52.339523799999995,null,,24.8
100,2030.1021651060048,48.46031918160132,null,52.8386227,55.16919035000001,null,,37.6
150,3023.6667621726347,49.26402600835643,null,55.2260984,56.8506164,null,,41.2
200,3591.4733049955935,54.792787405415986,null,67.6125344,73.55631819999995,null,,45.2
250,4455.672192295312,54.7306078346373,null,66.4562194,71.90562169999998,null,,44.8
500,4182.805053291097,90.02632417428818,null,120.08790600000002,132.3087361,null,,22
1000,3912.058854869929,177.1702654833559,null,124.4574576,147.39656010000002,null,,25.6
1500,3714.9275555776244,330.2901993765682,null,130.751273,148.56452265000001,null,,23.37
2000,2264.1741976519775,475.04745504977416,null,132.37147700000003,157.01772,null,,22.4
