vus,tps,avg,p50,p90,p95,p99,cpu_usage_max,disk_usage_max
50,1361.2923944092963,36.54394155605596,null,44.5802366,47.585414799999995,null,,4.4
100,2703.8982469905823,36.449699045929954,null,44.45311,44.764313,null,,1.6
150,3926.617955069889,36.45872549524836,null,44.296501,44.563926,null,,0.81
200,4819.421148698479,37.007248708557476,null,45.336961,47.9144004,null,,1.2
250,5035.572036686236,38.32371729481181,null,48.7094188,51.5000084,null,,0.81
500,3790.3508380839185,48.53447267543518,null,52.509097400000016,58.20919579999998,null,,0.81
1000,2508.2368576098283,92.26304623784524,null,57.97383140000001,76.25409099999999,null,,0.81
1500,2417.6082466685943,87.16054592838726,null,52.585879,59.4369386,null,,0.81
2000,2440.10673933378,172.19375803777953,null,69.260287,208.91361799999999,null,,2.4
